id,text,question_id
1881,"A.
the elaboration likelihood model.  (0%)",471
1882,"B.
the availability heuristic.  (5%)",471
1883,"C.
an encoding strategy.  (62%)",471
1884,"D.
associative learning.  (31%)",471
1885,"A.
Early attachment style tends to have long-lasting effects on relationships and well-being  (3%)",472
1886,"B.
Attachment styles result from bonding that occurs within the first hours after birth  (85%)",472
1887,"C.
Sensitive and responsive caregiving tends to result in more secure attachments  (2%)",472
1888,"D.
Stranger anxiety is considered a normal developmental milestone for infants  (8%)",472
1889,"A.
Classical conditioning and secondary reinforcement  (2%)",473
1890,"B.
Classical conditioning and a token economy  (1%)",473
1891,"C.
Observational learning and a token economy  (36%)",473
1892,"D.
Observational learning and secondary reinforcement  (59%)",473
1893,"A.
A mood disorder  (13%)",474
1894,"B.
An anxiety disorder  (2%)",474
1895,"C.
A dissociative disorder  (11%)",474
1896,"D.
A personality disorder  (72%)",474
1897,"A.
A residency program for physicians specializing in surgery  (30%)",475
1898,"B.
An inpatient psychiatric ward where patients are involuntarily committed  (5%)",475
1899,"C.
An insurance company employing physicians as paid consultants  (7%)",475
1900,"D.
A humanitarian group composed of volunteer physicians  (56%)",475
1901,"A.
Yes, because 0.2 g sugar is the just noticeable difference  (12%)",476
1902,"B.
Yes, because Weber's law is based on a constant value  (2%)",476
1903,"C.
No, because 0.2 g is below the absolute threshold  (20%)",476
1904,"D.
No, because Weber's law is based on a ratio  (63%)",476
1929,"A.
promoted based on the amount of time they have worked at the hospital.  (1%)",483
1930,"B.
hired based on referrals from individuals already employed by the hospital.  (1%)",483
1931,"C.
promoted based on their demonstrated skills and accomplishments.  (92%)",483
1932,"D.
hired based on the prestige of the training programs from which they graduated.  (4%)",483
1933,"A.
 (10%)",484
1934,"B.
 (74%)",484
1935,"C.
 (8%)",484
1936,"D.
 (6%)",484
1937,"A.
Anomie  (73%)",485
1938,"B.
Cultural relativism  (1%)",485
1939,"C.
Relative deprivation  (19%)",485
1940,"D.
Deindividuation  (5%)",485
1941,"A.
Structural functionalism  (57%)",486
1942,"B.
Conflict theory  (4%)",486
1943,"C.
Social constructionism  (22%)",486
1944,"D.
Symbolic interactionism  (15%)",486
1945,"A.
groupthink.  (3%)",487
1946,"B.
the mere exposure effect.  (39%)",487
1947,"C.
mass hysteria.  (18%)",487
1948,"D.
imitation of a reference group.  (37%)",487
1949,"A.
Increased suicide rates provide evidence for a Malthusian catastrophe.  (14%)",488
1950,"B.
The decline in suicide rates during World War II supports Malthusian theory.  (14%)",488
1951,"C.
The Great Depression would be considered a positive check.  (39%)",488
1952,"D.
Increased suicide rates during recessions are negative checks.  (31%)",488
1953,"A.
is relatively uncommon compared to other ways of dying.  (4%)",489
1954,"B.
is a folkway in American culture.  (3%)",489
1955,"C.
incurs formal, but not informal, sanctions.  (1%)",489
1956,"D.
violates a major normative social script.  (90%)",489
1957,"A.
The eating behavior is evidence of a biochemical imbalance in the dopamine reward system in the brain.  (2%)",490
1958,"B.
Positive attention from others for initially losing weight motivates the individual to want to lose more weight.  (58%)",490
1959,"C.
The individual is behaving in a way to attain the ""thin ideal"" portrayed by celebrities in the media.  (20%)",490
1960,"D.
The individual most likely has a close friend or family member with an eating disorder and is imitating that behavior.  (18%)",490
