id,text,correct_answer,passage_id,explanations
471,"When first memorizing neuroanatomical structures and their functions, a student associates the amygdala, which starts with the letters A-M-Y and is involved in processing emotions, with her ""emotional"" friend named Amy.  This scenario illustrates:",C,84,"Memory involves encoding, the transfer of information into long-term memory; storage (retaining the information); and retrieval (accessing the information).  Some information is processed automatically with little effort (eg, registering the characters on a license plate as letters or numbers), but to encode information, attention and effortful processing are often required (eg, encoding a specific license plate takes effort).
Elaboration is an example of an encoding strategy that can enhance memory.  With elaboration, new information is meaningfully associated with previously known information.  This effortful, deep processing tends to result in more connections to the new material, improving learning.
A scenario in which a student meaningfully associates the name and function of the amygdala (ie, new information) to her ""emotional"" friend named Amy (ie, previously known information) illustrates elaboration, an encoding strategy.
(Choice A)  The elaboration likelihood model (ELM) describes a message's persuasiveness based on how deeply or superficially it is processed and the characteristics of the audience (eg, motivation).  A scenario in which a student links new information to old information does not illustrate the ELM.
(Choice B)  The availability heuristic is the tendency to judge how common or likely something is based on how easily it is recalled (eg, assuming that shark attacks are common because one was recently reported on the news).  A scenario in which a student links new information to old information does not illustrate the availability heuristic.
(Choice D)  Associative learning is the linking of two events or stimuli.  For example, in operant conditioning, a behavior is associated with a consequence (ie, reinforcement or punishment).  A scenario in which a student links new information to old information does not illustrate associative learning.
Educational objective:
Encoding involves the transfer of information into long-term memory.  Information that is attended to and processed more deeply tends to be remembered better."
472,Which statement is NOT accurate regarding human social behavior?,B,84,"Attachment styles
Secure
Insecure
Develops from sensitive, responsive caregivers
Infants readily explore a new environment when caregiver is near
Infants are distressed by a caregiver leaving & comforted on return
Associated with better long-term effects (eg, more satisfaction in adult relationships, greater health outcomes)
Develops from insensitive, unresponsive caregivers
In a new environment, infants are apathetic or overly clingy toward caregiver
Infants are indifferent to, or not comforted by, a caregiver's return
Associated with worse long-term effects (eg, less satisfaction in adult relationships, poorer health outcomes)
Attachment styles, which reflect the emotional bond between child and caregiver, are not formed during the first few hours after birth but rather form during the first few years of life as a result of repeated interactions.  The nature of this ongoing contact between child and caregiver can produce a secure or insecure attachment style.
Secure attachment typically results when caregivers are sensitive and responsive to a child's emotional needs (eg, readily soothing an upset infant).  Securely attached children develop confidence in their ability to explore the world around them and return to their caregivers as a consistent and nurturing base.
Insecure attachment can develop when caregivers do not consistently respond to a child's emotional needs (eg, often ignoring the infant).  Insecurely attached children do not develop confidence in their caregivers' ability to meet their needs, may act indifferent or clingy towards them, and may show little exploration overall.
(Choice A)  Early attachment styles impact an individual's relationships and well-being throughout their lifetime.  For example, individuals with a secure attachment style show less depression and drug abuse as adolescents and tend to be more satisfied with their romantic relationships as adults.
(Choice C)  Sensitive and responsive caregiving does tend to result in more secure attachments.
(Choice D)  Stranger anxiety, psychological distress caused by contact with unfamiliar individuals, peaks around age 1 year and declines as a child matures.  Stranger anxiety is a normal developmental milestone for infants.
Educational objective:
Attachment is the emotional bond between a child and caregiver.  Securely attached children typically have sensitive, responsive caregivers and are more confident in their ability to explore their environment.  Insecurely attached children typically have insensitive, inconsistent caregivers to which they act indifferent or clingy and are less likely to freely explore their environment."
473,"In a two-part procedure for teaching children with diabetes to self-inject insulin, a child is first shown a video of same-aged peers self-injecting insulin and is then given a sticker for each attempt to self-inject.  This procedure utilizes:",D,84,"Types of learning
Operant conditioning
Occurs when the likelihood of repeating a behavior is influenced by the outcome of that behavior
Classical conditioning
Occurs when a stimulus that did not previously elicit a meaningful response takes on the properties of a biologically arousing stimulus after being paired
Observational learning
Occurs as the result of watching others engage in a behavior
Observational learning occurs as the result of watching others engage in a behavior.  For example, a child learns how to self-inject insulin by watching peers self-inject in a video.  There are four processes critical to observational learning: attention (focusing on others' behavior), retention (storing observations in memory), reproduction (imitating others' behavior), and motivation (incentive to imitate behavior).
Operant conditioning occurs when the likelihood of repeating a behavior is influenced by a consequence (ie, reinforcement or punishment).  Positive reinforcement increases/maintains behavior through the application of a desirable stimulus (ie, reinforcer).  Primary reinforcers are naturally rewarding (eg, candy), whereas secondary reinforcers are conditioned to be desirable (eg, stickers).
Therefore, a child learning to self-inject insulin by watching peers utilizes observational learning and rewarding the child with a sticker for attempting to self-inject utilizes secondary reinforcement.
(Choices A and B)  Classical conditioning occurs when a neutral stimulus that did not previously elicit a response takes on the properties of a biologically arousing (ie, unconditioned) stimulus after being paired (eg, infant fears a white toy rat after it is paired with a loud noise).  The procedure does not utilize classical conditioning.
(Choices B and C)  In a token economy, certain behaviors (eg, completing homework) are positively reinforced through the use of tokens (eg, gold stars), which are secondary reinforcers that can be exchanged for a desirable reward (eg, 5 gold stars can be exchanged for candy).  The procedure does not involve trading in secondary reinforcers for a desirable reward, so it is not utilizing a token economy.
Educational objective:
Observational learning occurs as the result of watching others.  Primary reinforcers are naturally rewarding (eg, food), whereas secondary reinforcers are conditioned to be desirable (eg, money)."
474,"A 34-year-old patient describes a history of conflict-ridden interpersonal relationships.  This pattern has been present since late adolescence, occurs across all settings, and has resulted in a history of sporadic employment and tumultuous romantic relationships.  The symptoms are not due to a medical condition or the use of a substance.  Which psychological diagnosis is most likely in this patient?",D,84,"Personality disorders are characterized by inflexible and enduring patterns of thoughts, feelings, and behaviors that differ markedly from social norms and cause functional impairment.  Individuals with personality disorders have pathological personal traits (eg, rigidity, greediness) and maladaptive patterns of relating to others (eg, hostility, superficiality) that are stable over time and across situations.
For someone with a pattern of conflict-ridden interpersonal relationships in all settings since late adolescence (ie, stable over time), resulting in a history of sporadic employment and tumultuous romantic relationships (ie, significant impairment), the most likely diagnosis is a personality disorder.
(Choice A)  Mood disorders (eg, depression) are characterized by persistent disruptions in emotional state.  Although individuals with mood disorders may experience social dysfunction (eg, lack of interest in socializing), this is a result of their mood symptomology, not an inflexible and enduring pattern of relating to others (ie, personality disorder).
(Choice B)  Anxiety disorders (eg, generalized anxiety disorder) are characterized by excessive worry.  Although individuals with anxiety disorders may experience social dysfunction (eg, declining social invitations due to anxiety), this is a result of their excessive worry, not an inflexible and enduring pattern of relating to others (ie, personality disorder).
(Choice C)  Dissociative disorders (eg, dissociative identity disorder) are characterized by disruptions in memory and identity.  Although individuals with dissociative disorders may experience social dysfunction (eg, through inconsistent interactions with loved ones), this is a result of their disruptions in memory and identity, not an inflexible and enduring pattern of relating to others (ie, personality disorder).
Educational objective:
Personality disorders are characterized by inflexible and enduring patterns of thoughts, feelings, and behaviors differing markedly from social norms.  Personality disorders are stable over time and across environments and cause significant distress or impairment of functioning."
475,Which of the following best illustrates a normative organization?,D,84,"In sociology, organizations are social structures composed of individuals linked by specific purposes, tasks, and/or common goals.  The three main types of organizations are normative, utilitarian, and coercive.
In normative organizations, people voluntarily unite based on shared values and/or goals (eg, church congregations, sororities).
In utilitarian organizations, members are compensated for their involvement, typically through money (eg, paid employment) or certification/diploma (eg, university students).
In coercive organizations, membership is not freely chosen (eg, prisoners) and/or maintained (eg, military service members must be discharged).
A humanitarian group composed of physician volunteers illustrates an organization in which members are united by shared values and/or goals (ie, a normative organization).
(Choices A and C)  Medical residents and business consultants are compensated for their efforts in a residency program and the workforce, respectively (ie, through certification, pay).  Therefore, both a medical residency program and an insurance company that employs physicians as consultants illustrate utilitarian, not normative, organizations.
(Choice B)  An inpatient psychiatric ward in which involuntarily committed patients are unable to leave as they choose (ie, they must be evaluated and cleared by staff) illustrates a coercive, not a normative, organization.
Educational objective:
Organizations are social structures composed of individuals linked by specific purposes, tasks, and/or common goals.  In normative organizations, people come together based on shared values/goals, whereas utilitarian organizations compensate members for their involvement.  In coercive organizations, membership is not freely chosen and/or maintained."
476,"A pharmaceutical company is testing how much sugar should be added to a pediatric oral liquid suspension to make the medication more palatable.  Researchers determine that adding 0.2 g of sugar to 20 mL of oral suspension Z results in children detecting a just noticeable difference in taste.  Based on Weber's law, should the addition of 0.2 g of sugar to 50 mL of oral suspension Z be detectable 50% of the time?",D,84,"The smallest difference between two stimuli a person can detect 50% of the time is called the just noticeable difference (JND), or difference threshold.  As the intensity of the original stimulus increases, the difference threshold also increases.  For example, although the difference between weights of 100 and 102 g may be detectable, the difference between weights of 500 and 502 g is not, even though the difference is also 2 g.
This relationship is quantified by Weber's law, which states that the ratio of the size of the JND to the original stimulus intensity remains constant.  In other words, the change in a stimulus needed to detect a difference is a constant proportion (ie, if one can just detect a difference between weights of 100 and 102 g, the difference between weights of 500 and 510 g would also be just detectable).
If the addition of 0.2 g of sugar to 20 mL of suspension Z is just noticeable 50% of the time, then for a volume that is 2.5 times bigger (20 mL × 2.5 = 50 mL), 0.5 g of sugar (0.2 g × 2.5 = 0.5 g) would be the JND.  Therefore, the addition of 0.2 g of sugar to 50 mL of oral suspension Z would not be detectable because Weber's law is based on a ratio.
(Choice A)  The addition of 0.2 g of sugar is the JND for 20 mL of suspension; for 50 mL of suspension the JND is 2.5 times greater, or 0.5 g.  Therefore, anything less than 0.5 g should not be detectable 50% of the time.
(Choice B)  Weber's law is based on a constant proportion, not a constant value, so the addition of 0.2 g of sugar to 50 mL of oral suspension Z should not be detectable 50% of the time.
(Choice C)  The absolute threshold is the intensity value at which an individual can detect a stimulus 50% of the time; 0.2 g represents the difference threshold, or the smallest difference between two stimuli that can be detected 50% of the time, not the absolute threshold.
Educational objective:
Weber's law states that the proportion of the just noticeable difference (the smallest difference between two stimuli a person can detect 50% of the time) to the original stimulus intensity is a constant."
483,A hospital administrator claims that her hospital operates as a meritocracy in regard to employee hiring and promotion.  Which of the following observations would most support this administrator's claim?  Employees are:,C,84,"A meritocracy is a system in which individuals with the most merit (eg, talent, ability, effort) progress and earn rewards.  In other words, factors such as prestige or social connections do not count in a meritocracy.  While meritocracy is often considered an ideal, there are very few truly meritocratic systems.
The claim that a hospital operates as a meritocracy in regard to employee hiring and promotion is best supported by a system where employee promotions are based entirely on merit, such as demonstrated skills or accomplishments, rather than on nonmerit factors, such as seniority (ie, time employed by hospital) (Choice A).
(Choice B)  Social capital includes the connections within one's social network that can help one advance, such as knowing individuals who already work at the hospital where one hopes to get a job.  In a meritocratic system, employees would be hired based purely on merit, rather than on referrals from their social network.
(Choice D)  Cultural capital describes all the nonfinancial and nonsocial network assets that confer advantage in society, such as the prestige of a medical training program from which one graduated.  In a meritocratic system, employees would be hired or promoted based purely on merit, rather than on their cultural capital.
Educational objective:
A meritocracy is a system in which those individuals with the most merit (eg, talent, ability, effort) progress and earn rewards."
484,Which of the following is NOT supported by the passage?,B,84,"In sociology, there is a distinction between religiosity and religious affiliation.  Religiosity refers to the extent to which a given religious doctrine is incorporated into all aspects of an individual's life (eg, beliefs, behaviors, identity).  Also referred to as religiousness, religiosity is the degree to which a person internalizes a religion.  For example, those who consider themselves Catholic and have a high degree of religiosity also demonstrate beliefs and behaviors that align with Catholicism, and ""being Catholic"" is an important part of their identity.
Religious affiliation describes an individual identifying with a religious group (eg, Catholics, Jews, Muslims).  Just because individuals identify with a religious group does not necessarily mean that they live their lives according to the principles or customs of that religion.  For example, many people consider themselves Catholic but do not attend church often or at all.
The second paragraph suggests that religious affiliation is linked to suicide: religious groups that place more value on people actively participating in the faith (religiosity) tend to have lower rates of suicide among members.  This is presumably due to members feeling a greater sense of embeddedness within their religious community.  Therefore, as religiosity increases, suicide attempts should decrease (not increase), reflecting a negative correlation.
(Choice A)  According to paragraph 2, there is a positive correlation between socioeconomic status (in particular, income) and the likelihood of committing suicide.
(Choice C)  Figure 1 indicates that suicide rates increase in a society during economic downturns and decrease during periods of economic prosperity.  In other words, there is a negative correlation between suicide attempts and improvements in the economy.
(Choice D)  According to paragraph 1, individuals are at the greatest risk of attempting suicide during or just after an inpatient stay at a psychiatric hospital.  Therefore, there is a negative correlation between suicide attempts and time from psychiatric hospital discharge.
Educational objective:
Religious affiliation describes an individual identifying with a religious group, whereas religiosity (or religiousness) is the degree to which an individual internalizes that religion, as demonstrated by the individual's beliefs, behaviors, and identity."
485,Durkheim describes a type of suicide committed by individuals who feel disconnected from society for not providing them a moral compass.  What is the societal condition that occurs when a society does not provide enough moral guidance to individuals?,A,84,"What society should provide:
Stability
Norms to guide behavior
Purpose, goals, values, morals
Anomie is a state of normlessness that occurs when a society fails to provide individuals with norms and values to guide behavior.  In an anomic society, individuals lack guidance and purpose and feel aimless or alienated from society.  Anomie is often the result of a shift or transition in society that causes instability, undermining current norms (before new norms arise to replace them).
Anomie variously impacts individuals within society based on which norms are undermined and how.  For example, during the Industrial Revolution, many individuals who moved to cities (a new way of life) experienced anomie, but those who remained in the countryside were less likely to be affected because the norms governing life prior to the Industrial Revolution were still in effect.
(Choice B)  Cultural relativism is the evaluation of a society's norms and values in comparison to itself instead of in comparison to another society.  Beliefs, values, norms, and practices are not considered good or bad but depend on the cultural context from which they arise.  The opposite of cultural relativism, ethnocentrism, judges the norms and values of one society as good or bad compared to those of another society.
(Choice C)  Relative deprivation describes feelings of discontent experienced by those who are being deprived of something to which they feel entitled.  For example, women were not allowed to vote in the United States before 1920, and as a result many felt deprived of this right of citizenship.  Relative deprivation often leads to social movements (eg, the suffrage movement) but does not describe societies that lack moral guidance.
(Choice D)  Deindividuation describes a process by which someone loses self-awareness in a group and behaves in a way that is out of character.  For example, a person who is not normally violent may engage in looting when part of an emotionally charged, riotous crowd.
Educational objective:
Anomie is a state of normlessness in society.  When the norms and values of a society are undermined and have yet to be replaced, the social system reaches the condition of anomie.  Individuals in an anomic society lack the guidance and purpose that society usually provides; as a result, they may feel less tied to society, aimless, or alienated."
486,Durkheim is most often associated with which sociological theory?,A,84,"The major theoretical approaches in sociology view society from either a macro-level or micro-level perspective.  Theories with a macro-level perspective look at how larger social structures (eg, education and health care systems) function in society and impact the lives of those living in that society.  Theories with a micro-level perspective look at how interactions between individuals (eg, teacher and student, doctor and patient) shape society.
Structural functionalism is a macro-level sociological perspective that compares society to a biological organism.  This theory proposes that, like the various organ systems attempting to maintain homeostasis in an organism, all aspects of society work together to maintain dynamic equilibrium (societal balance).  For example, the heath care system functions to keep people optimally healthy so that they can work and contribute to society, and the education system functions to teach and train people who will in turn contribute to society.  Émile Durkheim is the theorist most often associated with structural functionalism.
(Choice B)  Karl Marx and Max Weber are most often associated with conflict theory, a macro-level sociological perspective which argues that conflict between social classes in society is inevitable.
(Choice C)  Social constructionism is either a micro- or macro-level perspective that argues that members of a given society define what constitutes reality.  For instance, race is a social construct based arbitrarily on skin color.
(Choice D)  Charles Cooley and George Herbert Mead are most often associated with symbolic interactionism, which is a micro-level perspective that argues we attach meaning to symbols in society, and that interpersonal interaction is based on those symbols and meanings.
Educational objective:
In sociology, macro-level theories look at how social structures impact society, whereas micro-level theories look at how individual interactions shape society.  Émile Durkheim is most often associated with structural functionalism, a macro-level theory that compares society to an organism in which each component of society attempts to maintain homeostasis (dynamic equilibrium)."
