id,title,content,subject,question_count,topic
1,Passage Title: Past and Present,"Often regarded as a requiem for the American dream of material success, Arthur Miller's Death of a Salesman is one of the best-known plays of the modern American stage.  Not so well known, however, is the 1949 drama's original title, ""The Inside of His Head.""  Yet that erstwhile label may more accurately capture the spirit of this uniquely psychological tragedy depicting the downfall of distraught salesman Willy Loman.  For a time, Miller even imagined the curtain rising on an enormous head constructed for the audience to see inside.  Ultimately, however, the Pulitzer Prize–winning playwright settled on less literal means for us to peer inside the mind of his protagonist.
To help dramatize Willy's psychological deterioration, Miller makes liberal use of a technique known as interior monologue.  Like stream of consciousness, which delivers a character's unfiltered and uncontrolled thoughts in all their incoherence, interior monologue exposes the audience to the inner workings of the protagonist's mind, only using slightly more verbal organization.  Thus, through Willy's mutterings, we are privy to his mental state as he becomes increasingly entangled in remembrances of things past.  Eventually, the ill-fated salesman is unable to distinguish between then and now, illusion and reality.  Perhaps more impactful is Miller's corresponding tactic of time shifts: as Loman vacillates between reality and reverie, the audience is effectively shuttled between present and past.  However, unlike the popular cinematic device of flashbacks, which aim to recreate prior events objectively, these intrusions of the past into the present—dubbed ""mobile concurrences"" by Miller—are highly subjective reconstructions imparting Willy's version of those events.
Miller's stratagem of mobile concurrency—or what some critics call ""double exposure"" or ""split consciousness""—is a function of the main character's desperate condition.  Willy is acutely aware of himself as an aging man for whom career opportunities have foreclosed and for whom the time to realize goals has run out.  His hypersensitive state leaves him susceptible to episodes of spontaneous recollection: a seemingly trivial occurrence summons up a similar event from the past, or a casually uttered word or phrase (for example, mention of the Lomans' old car) triggers a barrage of memories.  The recalled event, along with its contiguous incidents and attendant emotions, is pulled from the matrix of the past into the flow of the present and reexperienced.  As Matt Biscay comments about the play, ""Memories constantly impinge on the present situation, and conversely, the present is put at some distance by the flood of recollections.""
Inside the theater, flute music and lighting changes signal to the audience Willy's dissociation from the present moment as he lapses into a romanticized past.  To the other characters on stage, Loman appears to be daydreaming or disoriented.  At times he seems to be talking to himself as he converses with figures from long ago, like his deceased brother Ben—figures invisible to the others but sometimes visible to the audience and even appearing to walk through walls.  As the tide of reminiscence recedes and its ghosts evaporate, Willy reemerges into the present, often resuming conversations with friends or family as if no interruption had occurred.  As Miller himself asserts, his goal was to ""erase any gap between a remembered past—that would be evoked through words…and a present that would be performed on stage.""
Through the techniques of interior monologue and mobile concurrences, Miller manipulates the temporal structure of his drama depicting the American dream's demise.  By making time's boundaries permeable for the broken and nostalgic Willy, Miller allows past and present to coexist for the audience as well.  Thus, the playwright succeeds at giving us his protagonist's subjective view—the view, that is, from the inside of his head.",Critical Analysis & Reasoning Skills,5,Humanities
2,Passage Title: Prior Knowledge: Kenya and Cultural Research,"Research into other cultures has long been informed by the recognition that one must attempt to assimilate the viewpoint of the group under study, rather than proceed from ethnocentric conceptions.  As Herbert Blumer wrote in 1969's influential Symbolic Interactionism, ""[I]f the scholar wishes to understand the actions of people, it is necessary to see their objects as they see them….  Simply put, people act toward things on the basis of the meaning that these things have for them, not on the basis of the meaning that these things have for the outside scholar.""  Those who research other peoples are thus generally well served by the admonition not to import (whether overtly or subconsciously) the presuppositions of their own backgrounds into their understanding of another culture or tradition.
However, a peculiar sort of danger can arise from adherence to this clearly reasonable principle, as illustrated in the recent experience of anthropological photographer Colin Prior.  While studying the Turkana tribe of northwest Kenya, Prior noted the ornate necklaces of colorful beads and other accessories typically worn by females.  Curious to learn about these necklaces and their various elements, he approached a group of girls: ""In my naïveté, I asked the purpose of the keys worn around the girls' necks.  Their bemused reply was as much a surprise to me as the question had been a surprise to them.  'For our front doors.'""
The girls' surprise and bemusement speaks to the fact that the question must have seemed silly to them; indeed, as silly as it would doubtless have seemed to a British woman if similarly queried.  Presumably in the latter case Prior would have thought the function of the keys was obvious, but with the Turkana he appears to have assumed that the obvious answer must not be right.  Paradoxically, Prior's openness to discovering the differences of another society led him away from, rather than toward, a correct understanding.
A mirror image of Prior's experience can be found among girls of another Kenyan tribe, the Samburu.  Noting the rarity of formal education among Samburu women, Carolyn Lesorogol describes the uneducated females' ""incomprehension of what the [educated] girls did in school.  One woman commented that, as a child, she was at a loss to understand why the one school girl sat in her house looking at a paper (i.e. reading).  When the other girls asked her to join them outside to play or go to a dance, she refused, saying she wanted to stay in and look at the paper.""
For those who are literate, the sheer automaticity of the act of reading makes it difficult to imagine the confusion the woman felt as a child.  But to someone for whom even the concept of reading is unfamiliar, the school girl's actions would surely have seemed bizarre; presumably just sitting and staring at a piece of paper would indeed be quite boring.  Based on how most of the Samburu girls conceived of this behavior, it is easy to empathize with their puzzlement over the school girl's choice of activities.
We can see researchers like Prior as taking care to avoid such an outlook in their own studies—that is, as appropriately avoiding the assumption that a different group attaches the same meaning to a particular phenomenon or behavior.  Nevertheless, diversity among peoples with regard to dress, family structure, gender, religious practices, and so on reflects a variety of answers to what are universal questions about human needs.  Thus, the foundation of understanding a culture other than one's own must still include the assumption of a deeper-level similarity underlying the surface-level differences.",Critical Analysis & Reasoning Skills,4,Humanities
3,Passage Title: The Caves of Lascaux,"In September 1940, near the tiny village of Montignac in the southwest region of France, a band of four youths and a dog accidentally stumbled upon the opening to a series of underground caverns whose walls were covered with prehistoric paintings.  Their monumental discovery unleashed a mystery that has continued to puzzle scholars: What function did these magnificent caves perform for the society that painted them?  One plausible theory, yet unproven, is that they constituted a kind of sacred space, perhaps a site for religious ceremonies.
Decades of work recording and analyzing the contents of this labyrinthine underworld, which came to be called Lascaux, have yielded some clues.  Pollen testing, carbon-14 dating, and the examination of flint and bone tools within the caves have been used to calculate the time period during which these subterranean reaches were painted and served their function.  The paintings date from between 17,000 and 12,000 BCE, which places them within the Upper Paleolithic era.  More specifically, they belong to the Magdalenian period of the last ice age that preceded the dawn of the current geological epoch and the invention of agriculture.
More than 2,000 paintings and symbols cover the insides of the caverns.  Approximately 900 of these depict horses, bison, stags, large felines, and hares, clearly reflecting a society of hunter-gatherers.  Various pigments, mainly red, yellow, and brown, were used.  By employing a novel method that took advantage of the edges and curvatures of the cave walls, the artists were able to give lifelike dimensions to these images and endow them with a sense of motion.  Nevertheless, the cave art of Lascaux suggests a purpose that goes beyond artistic expression.
It is likely these chambers served as a sanctuary within which the paintings would have corresponded to the iconography of a temple.  Moreover, countless footprints shown to have belonged to adolescent males suggest that the caves may have hosted initiation rituals marking a boy's passage from childhood to maturity.  At this critical juncture, the youths would have traditionally been separated from their families by the adult males and put through frightening ordeals.  The boys might have been tattooed, confined, or presented with physical challenges.  The purpose of such traumas was to prepare the adolescent for the physical and psychological rigors of the hunt, the brutalities of warfare, and the inevitable trials of adulthood.  Theologian Karen Armstrong describes such experiences as triggering ""a regressive disorganization of the personality"" followed by ""a constructive reorganization"" of the individual's faculties.  In other words, the rites were meant to force the youth to call upon inner resources of which he was not yet aware, thereby inducing a kind of psychological death and rebirth.
Lying deep within the earth, the caves would have provided the perfect container for these traumatic rites—a fact that became evident when Lascaux was opened to the public in 1948.  As mythologist Joseph Campbell recalled of his visit there, when the lights were out, all normal orientation and sense of time were suspended and ""you were never in darker darkness in your life.""  In primitive societies, descending into the darkness of the caves must have seemed like immersing oneself in what religious historian Mircea Eliade has termed ""sacred time,"" a kind of dissociative state conducive to the deeply transformative experience of the initiate.  When illuminated against the blackness, the realistic murals would have become a moving spectacle that simulated the hunt, the wonder and gravity of which was forever imprinted upon the boys' psyches.",Critical Analysis & Reasoning Skills,6,Social Sciences
4,"Passage Title: ""Enlightened"" Architecture","Situated near Weems, Virginia, Christ Church has long belied its appearance as a typical, if elite, Anglican house of worship from the colonial era.  Some have conjectured that the 1735 building is based on a prototype by the renowned English architect Christopher Wren, and, in truth, its resemblance to Farley Church in Wiltshire, England, which he designed, is almost uncanny.  Originally an unassuming wooden construct, Christ Church was commissioned in 1665 by John Carter, a wealthy tobacco planter who had come from his native England to Virginian shores three decades earlier.  In 1730, his son Robert—by then one of the wealthiest and most influential figures in the region—was determined to replace the structure of wood with one of brick.  He died two years later, leaving behind three male offspring to oversee the completion of what experts would later hail as ""the most finely crafted Anglican parish church in all of colonial Virginia.""  Indeed, historical websites laud it as ""an extraordinary example of eighteenth-century architecture, featuring meticulous brickwork, vaulted ceilings, and gorgeous compass-headed windows.""  Notably, the church also contains a triple-decker pulpit—a rare but distinctive feature of its era.  In recent decades, however, Christ Church has become a subject of interest more for what it conceals than for what it reveals.
The intricacies of this remarkable building point to its duality in being not only a religious sanctuary, but a shrine to rationality, a veritable temple of the Enlightenment.  Beneath its surface, Christ Church constitutes an architectural feat of mathematical precision in harmony with nature's laws.  Indeed, horologist H. Stephen Stewart has characterized it as ""a building of numbers""—specifically, calendric, solar, and lunar numbers.  As Stewart explains, two weeks after the vernal equinox, on the mean date for Easter, a sunbeam shines through the oval window above the main entrance that faces due west and rests upon the altar; this phenomenon repeats itself two weeks prior to the autumnal equinox.  Moreover, a shadow cast from a cornice of the building, moving vertically along the church's outer west wall at the pace of a single row of bricks per day, tracks the progression from spring to fall.  For eight hours daily, the structure also acts as a sundial, casting its shadow on the north lawn.  A seemingly multifunctional edifice, Christ Church, as Stewart astutely concluded, is a virtual ""time machine.""
The locale and physical orientation of this sacred structure were critical: not just any terrestrial site could offer complete celestial alignment.  As a result, Christ Church has basked in splendid isolation amidst an untamed countryside in a spot described by journalist Joy Aschenbach as ""a rather lonely one, with woods all around, few or no houses near, and no good roads.""  Its exchange of geographical remoteness for astronomical positioning recalls another singular sanctuary, the fifth-century BCE Temple to Apollo, the god of the sun and rationality, at Bassae in Greece.  Thrust deep into the rural expanse, this imposing temple—whose design has been attributed to the same architect as the Athenian Parthenon—sits atop Kotylion Mountain.  There, this previously forgotten structure holds dominion over a desolate landscape through which, prior to the last century, no truly passable road led.  Oriented north to south rather than (the more typical) east to west, the building seems calibrated to track the sun's annual phases.  Like the church, the temple has moved from dilapidation to restoration, becoming the focus of scrutiny as scientists decipher the calculus of its blueprint.
Clearly, such anomalies were not the result of happenstance.  As spaces of worship, these shrines are at once pragmatic and sacred: their purposes remain overtly divine even as their designs honor nature and extol reason.",Critical Analysis & Reasoning Skills,5,Social Sciences
5,Passage Title: Value Expression as Constituent of Art,"Art has always been an expression of values: from the earliest cave paintings to modern abstract sculpture, works of art are physical embodiments of a people's mores, experiences, and assumptions.  The study of such works thus provides not only insight into the societies that create them, but comparative grounds for exploring cultural differences among their contemporaries.  For instance, pre-Roman Etruscan art evinces a surprising level of freedom for women relative to other societies.  The Cerveteri Sarcophagus includes a sculpture of a husband and wife reclining and eating together; similarly, a mural adorning the Tomb of Leopards displays several married couples dining in this fashion at a banquet.  To the ancient Greeks, however, this Etruscan practice was an unthinkable scandal: as one historian points out, ""It was so foreign to the Greeks that it both shocked and frightened them.""  At Greek dinners, the only women who attended were servants and paid companions; the men's wives ""remained at home, excluded from most aspects of public life.""
To modern ears, this Greek conception of propriety must sound absurd or even humorous.  Nevertheless, it exemplifies the effect of cultural contact in challenging a society's values, whether through direct observation of a practice or mediated through the art that displays it.  Of course, that function of art also operates within a society, and this self-reflection and critique of cultural ethos is one of art's most important functions.  This is not necessarily to say that art must offer such a challenge to be great; indeed, there are many works that have extraordinary aesthetic worth simply for what they represent.  Still, the importance of art in posing difficult, even painful, questions cannot be overstated.
What is truly bizarre, however, is when art seems neither to reflect nor to challenge the values of its time.  It might be wondered how such a scenario would be possible, as any depiction that did not reflect a society's character would at least suggest a tension with it.  Yet the world of early television provides an example.  In most shows of the 1950s and 1960s, like The Dick Van Dyke Show and I Love Lucy, the master bedrooms contained pairs of twin beds where the husbands and wives slept separately.
This television standard is hard to understand, in part because the implicit moral claims involved do not exemplify the kinds of cultural differences described above.  The American audiences of American television were not another society at risk of being shocked and frightened by unfamiliar customs, as the Greeks experienced with the Etruscans.  Nor can the standard be easily attributed to attitudes evolving over time; although much of what modern viewers take for granted would seem indecent to viewers of the past, surely the idea of a married couple occupying the same bed does not fall into that category.  Thus, the prohibition against depicting that practice could only have ""protected"" audiences from something wholly uncontroversial.  As such, this aspect of early television programming represented neither life as it is nor life as it ought to be—nor even how anyone thought life ought to be.  In this respect, then, does it simply fail to constitute art?
Although that conclusion seems in general justified, perhaps it is more accurate to say that the artistic value is diminished or suppressed, rather than absent entirely.  After all, any purposeful representation of life or fantasy is arguably art in some sense.  Hence, it may be useful to conceive of art and non-art less as distinct categories, and more as points along a continuum.  From that perspective, to be art is something that is achieved to a greater or lesser degree.",Critical Analysis & Reasoning Skills,4,Humanities
6,Passage Title: What is Dance?,"People sometimes dance for joy, or report that they are so happy that they could dance for joy.  However, one might wonder why this is so.  What is it about happiness that would lead someone to dance?  What exactly is dancing, when one ponders this activity that might otherwise be taken for granted?  Is it only a human practice, or is dancing something in which other animals also engage?
Indeed, some animals do seem to dance, although their reasons for doing so are goal-based.  For instance, bees dance to provide information to other colony members, using complicated movements to describe the location and quality of a food source.  This behavior is not emotive; it would seem odd, if not unscientific, to ascribe an emotive character to such displays.  Nevertheless, these displays are communicative, as are emotive human behaviors.
Might this similarity bespeak a common evolutionary basis for the dance of humans and other animals?  Perhaps, although there are differences which cast doubt on that hypothesis.  A bee's dance is its main method of communication, whereas most human communication is vocal.  Even with non-vocal communication such as sign language, the types of bodily movements are qualitatively different from those used in dance, as dance movements signify at most a general feeling or impression rather than corresponding to specific words or ideas.  If the bee's dance functions like human sign language (albeit in a much less sophisticated form), it is probably not an appropriate analogue to human dance at all; the term ""dance"" would be simply a weak metaphor.  Thus, if the bee's dance is a type of language, it is not the same sort of thing as human dance.
Still, there are other types of animal behaviors that might more aptly be called dances.  Many animals perform courtship displays of varying complexity, in which carefully choreographed movements are designed to win the favor of a potential mate.  Historically, a connection between human dance and courtship has also been assumed, and often cautioned against.  For instance, in the 1950s Elvis was denounced by parents as a corrupting influence upon the young women who swooned over him, and some of his dance moves were censored.  People today likewise voice concerns with regard to the behavior of crowds in nightclubs and explicit lyrics in popular music.  A similar outcry will undoubtedly be heard in the future, as the struggle of parental restraint against youthful vigor continues.
It should not be thought, however, that all amorous dancing is subject to condemnation.  Weddings include dance as a matter of custom, suggesting a long-standing endorsement within socially approved couplings.  Through social tradition or natural instinct, dance seems linked with romance in the human mind.  Nevertheless, such a connection is clearly not the whole story.  One of the most fundamental uses of dance is the physical expression of music—a language not of words, but emotion.
If music expresses emotion and dance expresses music, then, do we dance not only ""for joy"" but for all emotions?  Seemingly not, but why?  Certainly, music itself conveys a wide spectrum of feelings.  Although we do not dance ""for sadness"" or ""for anger,"" we do droop our bodies or clench our fists, and perhaps more subtle emotions produce other physical markers.  Still, happiness too can be seen in a smile, and to actually dance for joy is comparatively rare.  Is dance then truly an entity unto itself?  Or, is it merely one instance of a wider class of physical behaviors?",Critical Analysis & Reasoning Skills,6,Humanities
7,Passage Title: Translation,"Of the myriad problems facing translators, perhaps the most significant lies in the tension between what a text conveys and the words used to convey it.  Strict fidelity to the specific words of a text often fails to capture the full sense of its meaning.  Beyond this loss of meaning can also arise a loss of artistry and structural features that often cannot be replicated.
For instance, a fully evocative rendering of the 119th Psalm seems unattainable.  Comprising twenty-two strophes of eight lines each, the one hundred and seventy-six verses do appear somewhat poetic in translation.  But in the original Hebrew the Psalm is an acrostic: the verses of the first strophe all begin with the letter aleph, those of the second with beth, and so on, with tav, the last letter of the alphabet, commencing the final eight verses.  The reader of a translation would, understandably, be ignorant of this fact.  While this does not affect the essential meaning of the verses, it does affect their character—something is lost from the original in its non-native presentation.  Although there have been occasional attempts to mimic this structure in other languages, they have all been unsuccessful.  The tortured and unnatural wording that results proves the wisdom of most translators in prioritizing readability.  Nevertheless, the Psalmist wrote with a particular purpose that is left untransmitted.  The sacrifice of the acrostic, however necessary, is regrettable.
Another concern is what might be called translational multiplicity.  Argentinian writer Jorge Luis Borges famously remarked: ""The Quixote, due to my congenital practice of Spanish, is a uniform monument, with no other variations….  [T]he Odyssey, thanks to my opportune ignorance of Greek, is an international bookstore of works in prose and verse.""  To speak of ""the"" Odyssey—or more generally, ""the"" text of any work—runs headlong into the reality that for translated works, ""the text"" is not a single entity but a collection of candidates.  Thus, a perennial difficulty of translation is conveyed through Borges' idiosyncratic expression.  Or is it?  For Borges' remarks are elsewhere listed as: ""Since Spanish is my native language, the Quixote is to me an unchanging monument, with no possible variations….  But the Odyssey, thanks to my opportune ignorance of Greek, is a library of works in prose and verse.""  That we might ask which of these translations more closely represents his actual words is a fact that Borges would likely have found amusing.
Considerations of this sort are magnified when one approaches the writings not only of individual authors, but of past civilizations.  Despite being one of the world's foremost sinologists, the late D. C. Lau was convinced that none of us truly understand classical Chinese.  The sentiment was no mere expression of modesty; fellow scholar Roger Ames described Lau as ""[h]aving assimilated the classical corpus through a lifetime of careful study and reflection.""  Rather, Lau was keenly aware of a difficult truth: the fluidity of language and culture over time can shroud the works of the ancients in obscurities that may be inscrutable to even their most passionately curious descendants.
Modern works may also be altered, however, and sometimes through more subtle types of translation.  The book known as Harry Potter and the Philosopher's Stone in England was changed to refer instead to the ""Sorcerer's Stone"" in the United States, reportedly due to a belief that the original title would be unpalatable to an American audience.  While that depressing assumption may indeed have been correct, the change removes a titular connection to a pre-existing myth.  The generic fantasy idea with which it is replaced thus fails to embody the full character of the original work.",Critical Analysis & Reasoning Skills,4,Social Sciences
8,Passage Title: Nietzsche's Eternal Recurrence of the Same,"In August of 1881, the German philosopher Friedrich Nietzsche was walking beside a Swiss Alpine lake when a thought that he would alternately extol and execrate as ""the thought of all thoughts""—one that would beleaguer the rest of his life and work—flashed through his mind.  The thought first appears in Nietzsche's 1882 collection of aphorisms, The Gay Science, as a hypothetical question: ""What if some day or night a demon were to steal after you into your loneliest loneliness and say to you: 'This life as you now live it and have lived it, you will have to live once more and innumerable times more; and there will be nothing new in it, but every pain and every joy and every thought and sigh and everything unutterably small or great in your life will have to return to you, all in the same succession and sequence….?'""  A curious intertwining of infinity, repetition, and fate, known as the Eternal Recurrence of the Same, this idea would itself recur in the philosopher's writing, particularly in his self-proclaimed masterwork and quasi-hermetic text Thus Spake Zarathustra.
Nietzsche's Eternal Recurrence, or the notion that, as Steven Gambardella expresses it, ""time is a circle and all things are bound and repeated for eternity,"" defies literal belief; however, it should not be reduced to a metaphor nor dismissed as, in one scholar's words, ""a bizarre, fanciful, and poetic idea.""  More properly, Gambardella proposes, it is ""part-parable, part-thought-experiment,"" a stern summons to re-examine our relationship with life and carefully consider the consequences of our choices.  In Gambardella's view, Nietzsche's concept provides ""an alternative ethical benchmark to religious ethical systems.""  Whereas many religions promise followers an afterlife of eternal reward or punishment based on conduct in this life, Nietzsche posits only the prospect of ""an impermanent life repeating eternally.""  Similarly, Lawrence Hatab describes the Nietzschean universe as ""a finite-world-in-infinite-process.""  This endless repetition of the same has, Hatab stresses, the power to eradicate all metaphysics, remove the teleology associated with linear time, and erase ""all afters and beyonds,"" leaving nothing but ""the here and now.""
The consequent eternalization of the transitory moment underlies what Nietzsche considers the superlative struggle.  As the philosopher explains, ""The question in each and every thing is, 'Do you desire this once more and innumerable times more?'  If this thought gained possession of you, would [it] change you…or perhaps crush you?""  In describing the philosopher's idea as ""a deceptively simple yet profound proposition,"" writer Maria Popova acknowledges that the concept of Eternal Recurrence challenges us to confront ""the specter of infinite monotony,"" a task requiring the courage to accept—indeed, to want—what is and demanding nothing less than ""the ultimate embrace of responsibility.""
This doctrine of complete acceptance links Nietzsche's Eternal Recurrence to a concept known as amor fati—a ""love of fate"" that exhorts one to affirm life's every detail.  Nietzsche believed such extreme affirmation epitomized bravery: ""My formula for greatness in a human being is amor fati: that one wants nothing to be different, not forward, not backward, not in all eternity.""  One must ""[n]ot merely bear what is necessary…but love it""—as if having willed to happen exactly what has happened.  This imperative tolerates no omissions: ""Have you ever said Yes to a single joy?...then you have said Yes too to all woe.  All things are entangled, ensnared, enamored; if ever you wanted one thing twice…then you wanted all back.""  Nor are revisions allowed: unlike the protagonist of the film Groundhog Day who can make different choices in reliving the same February 2nd over and over, one cannot redo anything.  Nevertheless, Nietzsche proposes that radical affirmation can simultaneously redeem what was, is, and will be.",Critical Analysis & Reasoning Skills,4,Humanities
9,Passage Title: Film Noir,"Dominated by stock character types and gloomy urban settings, film noir is a highly stylized art form with plots that pivot around crime and intrigue.  Chiefly a product of 1940s and 1950s Hollywood, noir was arguably more an approach, mood, or sensibility than a discrete genre.  Noir drew inspiration for its scenery from classic movies about bootlegging and heists but primarily imported its storylines and dialogue from the crime novels and pulp magazine tales of the Depression Era.  At the same time, noir imitated the unsettling cinematography of the German expressionist movement of the 1920s and borrowed from French poetic realist cinema a fundamentally jaundiced and tragic worldview.  As an unlikely amalgamation of ideas and styles, film noir also readily absorbed other contemporary cultural strains, notably existentialism and psychoanalysis.
Most noir-type films belong to what is known as the ""B"" movie category—low-budget, black-and-white motion pictures originally produced to accompany a higher-budget or ""A"" film as a double feature—and display certain conventions that give them a distinguishing character.  Apart from a brooding mood, or pervasive sense of pessimism and meaninglessness, noir conventions include the investigation of a crime and a difficult-to-decipher plot unfolding in flashback sequences accompanied by voiceover narration.  Camera angles are distorting and disorienting, creating a sense of menace.  Chiaroscuro or contrast lighting predominates, with characters often appearing in silhouette or caught within the contrasting shadows cast by Venetian blinds.  Dark and rainy streets illuminated solely by flickering signs point to a dodgy underworld of corruption that is played out in crowded nightclubs, deserted warehouses, or dingy offices.
Standard noir roles include an isolated, ""hardboiled"" detective and a dangerous female character who proves as duplicitous as she is sharp-tongued and glamorous.  Often, a kind of anti-hero is also featured—a man disillusioned and marginalized, down on his luck, desperate to escape his past, and morally ambivalent—who makes an easy target for the double-crossing woman.  Film noir is also replete with witty and ironic verbal exchanges that heighten the tension between characters who traverse treacherous ground in a hostile universe where fate is inexorable.  Such stylistic tropes, along with morally questionable character types, brought noir into conflict with mid-20th-century American values.
Despite conventions so recognizable they have hardened into clichés that lend themselves to parody, as a genre noir remains indistinct.  Although a few films, such as Double Indemnity and Out of the Past, seem paradigmatic of the style, most vary widely in the degree to which they follow the formula.  Many emphasize or are known for certain conceits: The Big Sleep and The Lady from Shanghai are notorious for the many twists and turns of their incoherent plots; Sunset Boulevard and Gilda for their deceptive female characters; and The Maltese Falcon for introducing the quintessential noir detective, deftly brought to life through the fedora-and-trench-coat-clad character of Sam Spade.
Noir is so notoriously ambiguous and elusive that many films from the era flirt with the classification.  For example, 1941 saw the release of renowned film director Orson Welles' Citizen Kane, a quasi-documentary drama concerning a newspaper magnate, which has long been deemed a masterpiece and is considered noir by some critics.  At the least, it was heavily influential in the development of this film style due to its dark cinematography, enigmatic plot of an investigative nature, voiceover, multiple flashbacks, inventive camera angles, and themes of corruption.  Likewise, the 1942 World War II classic Casablanca features chiaroscuro lighting and flashback; moreover, it takes place in a crowded, urban setting filled with suspicious characters and spotlights a bitter loner haunted by his past.  Given such uncertainty, it is fitting that noir was a label applied only after the heyday of these films ended.",Critical Analysis & Reasoning Skills,6,Humanities
10,Passage Title: The Knights Templar,"The seal of the Knights Templar depicts two knights astride a single horse, a visual testament of the order's poverty at its inception in 1119.  Nevertheless, these Knights of the Temple—who swore oaths not only of poverty but of chastity, loyalty, and bravery—would eventually become one of the wealthiest and most powerful organizations in the medieval world.  So far-reaching was their strength and acclaim that their destruction must have seemed as sudden and surprising as it was utter and irrevocable.  The signs of danger could not have been wholly invisible, however, as the Templars' growing influence became perceived as a threat to European rulers.
The first Templars were nine knights who took an oath to defend the Holy Land and any pilgrims who journeyed there after the First Crusade.  Having secured a small benefice from Jerusalem's King Baldwin II, the knights inaugurated their mission at the site of the great Temple of Solomon.  They quickly attracted widespread admiration as well as many recruits from crusaders and other knights.  Within a year of its founding, the order received a financial endowment from the deeply impressed Count of Anjou, whose example was soon followed by other nobles and monarchs.  As early as 1128, the Templars even gained official papal recognition, and their wealth, holdings, and numbers swelled both in the Holy Land and throughout Europe, especially in France and England.
However, this growing power contained the seeds of the order's downfall.  Although the Templars were generally held in high esteem, the passage of time saw censure and suspicion directed toward them.  The failure of the disastrous siege of Ascalon in 1153 was attributed by some to Templar greed.  Similarly, in 1208 Pope Innocent III condemned the wickedness he believed to exist within their ranks.  Moreover, their increasingly elevated status brought them into conflict with established authorities.  One revealing example occurred in 1252 when, because of the Templars' ""many liberties"" as well as their ""pride and haughtiness,"" England's King Henry III proposed to curb the order's strength by reclaiming some of its possessions.  The Templars' response was unambiguous: ""So long as thou dost exercise justice thou wilt reign; but if thou infringe it, thou wilt cease to be King!""
Ultimately, the impoverished Philip the Fair of France joined forces with Pope Clement V to engineer the Templars' downfall beginning in 1307.  Conspiring to seize the order's wealth, Clement invited the Templar Master, Jacques de Molay, to meet with him on the pretext of organizing a new crusade to retake the Holy Land.  Shortly thereafter, Philip's forces arrested de Molay and his knights on charges the preponderance of which were almost certainly fabricated.  Ranging from the mundane to the unspeakably perverse, the accusations even included an incredible entry citing ""every crime and abomination that can be committed.""  Suffering tortures nearly as horrific as the acts of which they were accused, many Templars confessed.
Not everyone believed these charges.  Despite Philip's urging, Edward II of England remained convinced that the accusations were false, a view seemingly shared by other rulers.  Nevertheless, Clement ordered Edward to extract confessions, a task the king tried to carry out with some measure of mercy.  By 1313, the Templar Order had been dissolved by papal decree, and many of its members were dead.  The following year, Jacques de Molay was burned at the stake after declaring that the Templars' confessions were lies obtained under torture.  Stories would spread that as he died, he condemned Clement and Philip to join him within a year.  Although it is impossible to say whether he truly called divine vengeance down upon them, within a few months' time both pope and king had gone to their graves.",Critical Analysis & Reasoning Skills,4,Social Sciences
