"id","text","question_id"
"1","A.
it revived the traditional presentation of tragedy.  (3%)","1"
"2","B.
it portrayed past and present events as intertwined.  (88%)","1"
"3","C.
it featured a protagonist who ultimately fails.  (4%)","1"
"4","D.
it featured extensive flashback sequences.  (2%)","1"
"5","A.
was originally intended to convey a political message.  (3%)","2"
"6","B.
revealed the elusiveness of the success promised by the American dream.  (74%)","2"
"7","C.
endorsed the conception of material success represented by the American dream.  (21%)","2"
"8","D.
had less impact on society than did the idea of the American dream.  (0%)","2"
"9","A.
downgraded the cinematic device of flashback.  (0%)","3"
"10","B.
dramatized events from the past in ways that tend to obscure Willy's perspective.  (12%)","3"
"11","C.
dramatized his protagonist's decline through speech that is confusing to the audience.  (5%)","3"
"12","D.
constructed Willy's subjective view by employing techniques that were not traditional.  (80%)","3"
"13","A.
conveys solely what Willy chooses to reveal.  (15%)","4"
"14","B.
transmits his impressions indiscriminately.  (75%)","4"
"15","C.
is mediated and restricted.  (4%)","4"
"16","D.
constitutes a linear progression of ideas.  (4%)","4"
"17","A.
Willy's devastation by the American dream.  (12%)","5"
"18","B.
nostalgia for America's past.  (3%)","5"
"19","C.
Willy's distinct perspective.  (78%)","5"
"20","D.
an unbiased frame of reference.  (5%)","5"
"21","A.
I only  (7%)","6"
"22","B.
III only  (75%)","6"
"23","C.
I and II only  (5%)","6"
"24","D.
II and III only  (11%)","6"
"25","A.
""Presumably in the latter case Prior would have thought the function of the keys was obvious, but with the Turkana he appears to have assumed that the obvious answer must not be right.""  (28%)","7"
"26","B.
""Research into other cultures has long been informed by the recognition that one must attempt to assimilate the viewpoint of the group under study, rather than proceeding from ethnocentric conceptions.""  (21%)","7"
"27","C.
Samburu women displayed ""'incomprehension of what the [educated] girls did in school.'""  (8%)","7"
"28","D.
""For those who are literate, the sheer automaticity of the act of reading makes it difficult to imagine the confusion the woman felt as a child.""  (41%)","7"
"29","A.
a sheltered student meeting diverse groups of people in college.  (10%)","8"
"30","B.
a community leader shunning a social transgressor.  (3%)","8"
"31","C.
an outsider seeking acceptance from an in-group.  (2%)","8"
"32","D.
a foreign traveler encountering an unfamiliar religious ceremony.  (83%)","8"
"33","A.
The belief that leaders from one nation should be respected by those of other nations.  (11%)","9"
"34","B.
The belief that children from one society can easily adapt to life in a new one.  (17%)","9"
"35","C.
The belief that food from one region is typically similar to that of its geographic neighbors.  (15%)","9"
"36","D.
The belief that sentences from one language can in principle be translated into any other.  (55%)","9"
