"id","text","correct_answer","passage_id","explanations"
"1","The passage implies that Miller's Death of a Salesman was innovative for the era when it was first performed because:","B","1","To help dramatize Willy's psychological deterioration, Miller makes liberal use of a technique known as interior monologue….  Thus, through Willy's mutterings, we are privy to his mental state as he becomes increasingly entangled in remembrances of things past.  Eventually, the ill-fated salesman is unable to distinguish between then and now, illusion and reality.  Perhaps more impactful is Miller's corresponding tactic of time shifts: as Loman vacillates between reality and reverie, the audience is effectively shuttled between present and past. (Paragraph 2)
Miller's stratagem of mobile concurrency…is a function of the main character's desperate condition.  Willy is acutely aware of himself as an aging man for whom career opportunities have foreclosed and for whom the time to realize goals has run out.  His hypersensitive state leaves him susceptible to episodes of spontaneous recollection: a seemingly trivial occurrence summons up a similar event from the past, or a casually uttered word or phrase (for example, mention of the Lomans' old car) triggers a barrage of memories.  The recalled event, along with its contiguous incidents and attendant emotions, is pulled from the matrix of the past into the flow of the present and reexperienced. (Paragraph 3)
Paragraph 2 describes Miller's distinctive staging techniques.  According to the author, ""To help dramatize Willy's psychological deterioration, Miller makes liberal use of a technique known as interior monologue.""  Thus, through Willy's monologues or ""mutterings,"" Miller makes the audience ""privy to [his protagonist's] mental state as he becomes increasingly entangled in remembrances of things past"" to the point where he cannot distinguish these from reality.
Miller's ""mobile concurrences"" likewise blur time boundaries: ""as Loman vacillates (alternates) between reality and reverie (dream state), the audience is effectively shuttled between present and past.""  Although ""highly subjective,"" these time shifts represent ""intrusions of the past into the present.""
In Paragraph 3, the author explains how these mobile concurrences operate through ""episodes of spontaneous recollection"" to bring past and present together into the play's structure: ""a seemingly trivial occurrence summons up a similar event from the past, or a casually uttered word or phrase…triggers a barrage of memories.  The recalled event…is pulled from the matrix of the past into the flow of the present and reexperienced.""
Consequently, Miller used the technique of interior monologue together with his own device of mobile concurrences to integrate past events into the stream of current events being depicted in the play.  Therefore, the passage implies that Miller's Death of a Salesman was innovative for the era when it was first performed because it portrayed past and present events as intertwined.
 (Choice A)  it revived the traditional presentation of tragedy.  Paragraph 1 refers to Miller's drama as ""uniquely psychological"" in that it gives the audience access to the inside of the protagonist's mind.  The play is also described as a ""tragedy depicting the downfall of distraught salesman Willy Loman."" These descriptions indicate that although Miller's play was tragic in its scope, it was highly innovative or unique in its presentation.  Consequently, the play was not aimed at reviving the traditional presentation of tragedy (the features of which are never described in the passage).
(Choice C)  it featured a protagonist who ultimately fails.  Paragraph 3 discusses Willy Loman's status as ""an aging man for whom career opportunities have foreclosed and for whom the time to realize goals has run out.""  This information suggests that the play's main character is an ordinary person who had not met with success.  However, the passage never suggests that Miller's play was innovative for its era because it featured a protagonist who ultimately fails.
(Choice D)  it featured extensive flashback sequences.  According to Paragraph 2, Miller used a ""tactic of time shifts: as Loman vacillates between reality and reverie, the audience is effectively shuttled between present and past.""  However, these time shifts, or ""mobile concurrences,"" are ""unlike the popular cinematic device of flashbacks, which aim to recreate prior events objectively""; they instead present ""highly subjective reconstructions imparting Willy's version of those events.""  Accordingly, Miller's play did not feature extensive flashback sequences; rather, it used a similar but distinct device of mobile concurrences."
"2","The passage assertion that Death of a Salesman is ""a requiem for the American dream of material success"" (Paragraph 1) suggests that the play:","B","1","Often regarded as a requiem for the American dream of material success, Arthur Miller's Death of a Salesman is one of the best-known plays of the modern American stage.  Not so well known, however, is the 1949 drama's original title, ""The Inside of His Head.""  Yet that erstwhile label may more accurately capture the spirit of this uniquely psychological tragedy depicting the downfall of distraught salesman Willy Loman. (Paragraph 1)
Willy is acutely aware of himself as an aging man for whom career opportunities have foreclosed and for whom the time to realize goals has run out. (Paragraph 3)
Paragraph 1 describes Death of a Salesman ""as a requiem (solemn remembrance) for the American dream of material success.""  According to the passage author, Miller's play presents ""the downfall of distraught salesman Willy Loman.""  Paragraph 3 goes on to describe Willy as ""an aging man for whom career opportunities have foreclosed and for whom the time to realize goals has run out.""  Thus, the play highlights the failure of Willy's career aspirations, emphasizing that, despite his efforts, he has been unable to achieve the success the American dream would seem to have promised.
Consequently, the passage assertion that Death of a Salesman is ""a requiem for the American dream of material success"" (Paragraph 1) suggests that the play revealed the elusiveness of the success promised by the American dream.
 By contrast, the passage assertion that Death of a Salesman is ""a requiem for the American dream of material success"" would not suggest that the play:
was originally intended to convey a political message (Choice A).  Paragraph 1 states that Miller originally titled his play ""The Inside of His Head,"" suggesting that the initial focus was on the ""uniquely psychological"" aspects of the work.  Accordingly, although the final version of the play is viewed as ""a requiem for the American dream of material success,"" the passage never indicates whether an explicitly political message was part of Miller's original intention.
endorsed the conception of material success represented by the American dream (Choice C).  Through the character of Willy, Miller suggests that the success promised by the American dream is elusive and perhaps even empty.  Despite his long-term pursuit of this dream, Willy has ended up in a ""desperate condition"": he has become ""acutely aware of himself as an aging man for whom career opportunities have foreclosed and for whom the time to realize goals has run out"" (Paragraph 3).  This negative portrait of the unfulfilled and unsuccessful protagonist conveys implicit criticism of the American dream.  Accordingly, the play challenged rather than endorsed the dream's conception of material success.
had less impact on society than the idea of the American dream (Choice D).  Although Miller's drama is described as ""one of the best-known plays of the modern American stage"" (Paragraph 1), the passage does not discuss the play's impact on society, nor does it compare this impact with that of the American dream."
"3","In Paragraph 2, the author states that, as a playwright, Arthur Miller:","D","1","To help dramatize Willy's psychological deterioration, Miller makes liberal use of a technique known as interior monologue….  [I]nterior monologue exposes the audience to the inner workings of the protagonist's mind….  Thus, through Willy's mutterings, we are privy to his mental state as he becomes increasingly entangled in remembrances of things past.  Eventually, the ill-fated salesman is unable to distinguish between then and now, illusion and reality.  Perhaps more impactful is Miller's corresponding tactic of time shifts: as Loman vacillates between reality and reverie, the audience is effectively shuttled between present and past.  However, unlike the popular cinematic device of flashbacks, which aim to recreate prior events objectively, these intrusions of the past into the present—dubbed ""mobile concurrences"" by Miller—are highly subjective reconstructions imparting Willy's version of those events. (Paragraph 2)
According to Paragraph 2, ""To help dramatize Willy's psychological deterioration, Miller makes liberal use of a technique known as interior monologue.""  Through this nontraditional technique, the playwright ""exposes the audience to the inner workings of the protagonist's mind.""  Furthermore, Miller uses his own innovation on ""the popular cinematic device of flashbacks,"" which he calls ""mobile concurrences.""  These mobile concurrences enable Miller to move the audience between the present and past even as Willy himself ""vacillates (alternates) between reality and reverie (dream state).""  However, ""unlike…flashbacks, which aim to recreate prior events objectively,"" mobile concurrences are described as ""highly subjective reconstructions imparting Willy's version of those events.""
Accordingly, Miller used nontraditional techniques to enable his audience to adopt Willy's personal point of view.  Therefore, in Paragraph 2, the author states that, as a playwright, Arthur Miller constructed Willy's subjective view by employing techniques that were not traditional.
 (Choice A)  downgraded the cinematic device of flashback.  In Paragraph 2, the author distinguishes Miller's mobile concurrences from ""the popular cinematic device of flashbacks.""  Whereas flashbacks ""aim to recreate prior events objectively,"" the playwright's mobile concurrences ""are highly subjective reconstructions imparting Willy's version of those events.""  Consequently, Miller transformed the flashback into a subjective device by shaping the presentation of past events from his character's point of view.  However, the passage author neither evaluates Miller's modification as negative nor characterizes it as downgrading.
(Choice B)  dramatized events from the past in ways that tend to obscure Willy's perspective. According to Paragraph 2, ""To help dramatize Willy's psychological deterioration, Miller makes liberal use of a technique known as interior monologue.""  This technique ""exposes the audience to the inner workings of the protagonist's mind,"" giving them direct access to his ""mental state"" or subjective view.  Thus, the author indicates that Miller dramatized past events in ways that tend to bring Willy's perspective into focus for the audience rather than obscuring it.
(Choice C)  dramatized his protagonist's decline through speech that is confusing to the audience.  Paragraph 2 indicates that Miller dramatized his protagonist's decline through the technique of interior monologue or speech that ""exposes…the inner workings"" of a character's mind.  Accordingly, ""through Willy's mutterings (ie, monologues or speech), we are privy to his mental state as he becomes increasingly entangled in remembrances of things past.""  However, even though Miller's protagonist expresses his state of mental confusion through his dramatized speech, Paragraph 2 does not indicate that the audience is confused by it."
"4","The passage author suggests that the presentation of Willy's inner thoughts:","B","1","To help dramatize Willy's psychological deterioration, Miller makes liberal use of a technique known as interior monologue.  Like stream of consciousness, which delivers a character's unfiltered and uncontrolled thoughts in all their incoherence, interior monologue exposes the audience to the inner workings of the protagonist's mind, only using slightly more verbal organization.  Thus, through Willy's mutterings, we are privy to his mental state as he becomes increasingly entangled in remembrances of things past. (Paragraph 2)
In the play, Miller presents Willy's inner thoughts through a technique he called interior monologue.  As Paragraph 2 explains, ""Like stream of consciousness, which delivers a character's unfiltered and uncontrolled thoughts in all their incoherence, interior monologue exposes the audience to the inner workings of the protagonist's mind, only using slightly more verbal organization.""  Accordingly, interior monologue allows all the contents of a character's mind to emerge freely without being censored in any way.  Therefore, the passage author suggests that the presentation of Willy's inner thoughts transmits his impressions indiscriminately.
 (Choices A and C)  conveys solely what Willy chooses to reveal; and it is mediated and restricted.  Paragraph 2 describes interior monologue, the technique Miller uses to present Willy's inner thoughts: ""Like stream of consciousness, which delivers a character's unfiltered and uncontrolled thoughts in all their incoherence, interior monologue exposes the audience to the inner workings of the protagonist's mind, only using slightly more verbal organization.""  Consequently, the playwright aimed to present all the thoughts of his character, not just those thoughts Willy might choose to reveal.  In addition, as Willy's inner thoughts are provided in their ""unfiltered and uncontrolled"" state, their presentation is not mediated and restricted.
(Choice D)  it constitutes a linear progression of ideas.  Paragraph 2 describes the thoughts conveyed by stream of consciousness and by the similar technique of interior monologue as ""unfiltered and uncontrolled,"" adding that they are presented ""in all their incoherence.""  Accordingly, the presentation of Willy's inner thoughts would include involuntary, random, and even irrational thoughts; hence, it would most likely not constitute a linear progression of ideas."
"5","The success ascribed to Miller in Paragraph 5 is based on his ability to portray:","C","1","Through the techniques of interior monologue and mobile concurrences, Miller manipulates the temporal structure of his drama depicting the American dream's demise.  By making time's boundaries permeable for the broken and nostalgic Willy, Miller allows past and present to coexist for the audience as well.  Thus, the playwright succeeds at giving us his protagonist's subjective view—the view, that is, from the inside of his head (Paragraph 5)
According to Paragraph 5, ""Through the techniques of interior monologue and mobile concurrences, Miller manipulates the temporal structure of his drama.""  The dramatist thereby enables his audience to share Willy's perception of the past and the present as existing simultaneously.  Hence, as the passage author concludes, ""the playwright succeeds at giving us his protagonist's subjective view—the view, that is, from the inside of his head."" Consequently, the success ascribed to Miller in Paragraph 5 is based on his ability to portray Willy's distinct perspective.
 By contrast, the success Paragraph 5 ascribes to Miller is not based on his ability to portray:
Willy's devastation by the American dream (Choice A).  Paragraph 3 describes Willy Loman as ""acutely aware of himself as an aging man for whom career opportunities have foreclosed and for whom the time to realize goals has run out.""  Hence, this character's ""desperate condition"" derives from the sense that he has failed to achieve the American dream.  In Paragraph 5, the author reinforces Willy's devastation by referring to him as ""broken.""  However, the author does not attribute the success Miller had in presenting his protagonist's subjective view as depending upon the playwright's ability to portray Willy in a specific state, namely, as devastated by the American dream.
nostalgia for America's past (Choice B).  As Paragraph 4 notes, Willy often lapses into ""a romanticized past,"" losing himself in nostalgic daydreams of times gone by.""  Accordingly, as presented by Miller, Willy's subjective view is often tinged with nostalgia, or feelings of longing for the past.  However, the actual dramatic techniques Miller uses to enable him to present Willy's (nostalgic) view (ie, interior monologue and mobile concurrences) do not depend on expressing nostalgia either for a personal past or for America's past.
an unbiased frame of reference (Choice D).  According to Paragraph 5, ""Miller manipulates the drama's temporal structure"" and ""[b]y making time's boundaries permeable…allows past and present to coexist"" not only for Willy, but for the audience.  Paragraph 5 then implies that Miller's success results from presenting to the audience ""his protagonist's subjective view—the view, that is, from the inside of his head.""  This subjective point of view constitutes a biased rather than an unbiased frame of reference."
"6","Passage information suggests that Colin Prior's mistaken assumption about the keys worn by Turkana females was based on his:
somewhat insufficient understanding of Blumer's principle.
somewhat insufficient training as a cultural researcher.
somewhat excessive attempt to avoid ethnocentrism.","B","2","Research into other cultures has long been informed by the recognition that one must attempt to assimilate the viewpoint of the group under study, rather than proceed from ethnocentric conceptions. (Paragraph 1)
However, a peculiar sort of danger can arise from adherence to this clearly reasonable principle, as illustrated in the recent experience of anthropological photographer Colin Prior.  While studying the Turkana tribe of northwest Kenya, Prior…approached a group of girls: ""In my naïveté, I asked the purpose of the keys worn around the girls' necks.  Their bemused reply was as much a surprise to me as the question had been a surprise to them.  'For our front doors.'"" (Paragraph 2)
…with the Turkana he appears to have assumed that the obvious answer must not be right.  Paradoxically, Prior's openness to discovering the differences of another society led him away from, rather than toward, a correct understanding. (Paragraph 3)
According to Paragraph 1, to effectively research other cultures one ""must attempt to assimilate the viewpoint of the group under study, rather than proceed from ethnocentric conceptions.""  Nevertheless, Paragraph 2 conveys that this principle can be taken too far, ""as illustrated in the recent experience of anthropological photographer Colin Prior.""  Curious about the keys worn by Turkana females, Prior asked what their purpose was, only to receive the ""'bemused reply'"" that the keys were ""'[f]or our front doors.'""
Paragraph 3 suggests that if Prior had been in a more familiar context, he ""would have thought the function of the keys was obvious.""  However, because he was so focused on how Turkana culture might differ from his own, he instead ""appears to have assumed that the obvious answer must not be right,"" and thus that the girls' keys must have some other purpose than the straightforward one of opening their doors.  Ironically, then, his commitment to assimilating the viewpoint of another culture ""led him away from, rather than toward, a correct understanding.""
Accordingly, passage information suggests that Prior's mistaken assumption about the keys worn by Turkana females was based on his somewhat excessive attempt to avoid ethnocentrism (Number III).
 (Number I)  somewhat insufficient understanding of Blumer's principle.  Paragraph 1 cites Herbert Blumer's observation that ""'people act toward things on the basis of the meaning that these things have for them, not on the basis of the meaning that these things have for the outside scholar.'""  However, Paragraph 2 then warns that ""a peculiar sort of danger can arise from adherence to this clearly reasonable principle, as illustrated in the recent experience of anthropological photographer Colin Prior.""  Therefore, the passage indicates that Prior was following Blumer's principle by not assuming that keys had the same meaning for the Turkana as they did for himself.  Thus, the passage does not suggest that Prior had an insufficient understanding of Blumer's principle.
(Number II)  somewhat insufficient training as a cultural researcher.  According to Paragraph 1, cultural researchers should be careful ""not to import…the presuppositions of their own backgrounds into their understanding of another culture or tradition.""  The author refers to this idea as a ""clearly reasonable principle"" (Paragraph 2), despite noting in Paragraph 3 that in Prior's case, it ""[p]aradoxically…led him away from, rather than toward, a correct understanding.""  Therefore, although Prior did make a mistaken assumption, he was still following a generally applicable principle of cultural research; the passage never suggests that Prior's mistake was the result of insufficient training as a cultural researcher."
"7","Which of the following passage assertions is NOT supported by evidence in the passage?","D","2","A mirror image of Prior's experience can be found among girls of another Kenyan tribe, the Samburu.  Noting the rarity of formal education among Samburu women, Carolyn Lesorogol describes the uneducated females' ""incomprehension of what the [educated] girls did in school.  One woman commented that, as a child, she was at a loss to understand why the one school girl sat in her house looking at a paper (i.e. reading).  When the other girls asked her to join them outside to play or go to a dance, she refused, saying she wanted to stay in and look at the paper."" (Paragraph 4)
For those who are literate, the sheer automaticity of the act of reading makes it difficult to imagine the confusion the woman felt as a child.  But to someone for whom even the concept of reading is unfamiliar, the school girl's actions would surely have seemed bizarre; presumably just sitting and staring at a piece of paper would indeed be quite boring. (Paragraph 5)
Paragraph 4 describes the experience of a Samburu woman who grew up without any formal education.  Because such education was a ""rarity…among Samburu women,"" she and her peers were baffled by the behavior of a girl who did attend school.  In particular, the woman had no concept of literacy, remarking that ""'as a child, she was at a loss to understand why the one school girl sat in her house looking at a paper (i.e. reading).'""
The author then remarks in Paragraph 5 that ""[f]or those who are literate, the sheer automaticity of the act of reading makes it difficult to imagine the confusion the woman felt as a child.""  However, the author never elaborates on why the automaticity of reading would make the woman's confusion difficult to imagine.  For instance, they do not cite any studies about literate people's perceptions of illiteracy, nor contrast the Samburu woman's experience with that of a child raised in a literate culture.
Accordingly, the passage assertion about the difficulty of imagining the Samburu woman's confusion is not supported by evidence in the passage.
 (Choice A)  ""Presumably in the latter case Prior would have thought the function of the keys was obvious, but with the Turkana he appears to have assumed that the obvious answer must not be right.""  In recounting his conversation with the Turkana girls, Prior claimed: ""'In my naïveté, I asked the purpose of the keys worn around the girls' necks.  Their bemused reply was…""For our front doors""'"" (Paragraph 2).  By describing himself as naïve for asking about the keys, Prior implies that he should have guessed the answer without needing to ask.  Unlocking doors is a common and obvious function of keys, and Prior's self-criticism in the face of the girls' ""bemused reply"" highlights this fact.  Therefore, the assertion that Prior simply assumed that the obvious answer must not be right is supported by passage evidence.
(Choice B)  ""Research into other cultures has long been informed by the recognition that one must attempt to assimilate the viewpoint of the group under study, rather than proceeding from ethnocentric conceptions.""  In Paragraph 1 the author cites ""1969's influential Symbolic Interactionism,"" in which Herbert Blumer wrote that ""'people act toward things on the basis of the meaning that these things have for them, not on the basis of the meaning that these things have for the outside scholar.'""  Accordingly, the information that this idea was expressed in an influential work published decades ago supports the passage assertion that ""[r]esearch into other cultures has long been informed"" by such a recognition.
(Choice C)  Samburu women displayed ""'incomprehension of what the [educated] girls did in school.'""  Paragraph 4 discusses ""the rarity of formal education among Samburu women,"" including the women's ""'incomprehension of what the [educated] girls did in school.'""  This incomprehension is then evidenced by the specific example of a woman who ""'commented that, as a child, she was at a loss to understand why the one school girl sat in her house looking at a paper (i.e. reading).'"""
"8","Based on the passage, the childhood perspective of the Samburu woman toward the school girl in her village is most similar to the perspective of:","D","2","Noting the rarity of formal education among Samburu women, Carolyn Lesorogol describes the uneducated females' ""incomprehension of what the [educated] girls did in school.  One woman commented that, as a child, she was at a loss to understand why the one school girl sat in her house looking at a paper (i.e. reading).  When the other girls asked her to join them outside to play or go to a dance, she refused, saying she wanted to stay in and look at the paper."" (Paragraph 4)
According to Paragraph 4, most Samburu women do not receive a formal education.  Thus, one woman described the confusion she felt as a child, when ""'she was at a loss to understand why the one school girl sat in her house looking at a paper (i.e. reading).'""  In other words, she could observe the school girl's actions but could not understand the meaning behind those actions, perceiving them as ""looking at a paper"" instead of interpreting them as ""reading.""
Likewise, if a foreign traveler viewed a religious ceremony she had never seen before, she would observe various actions being performed as part of that ceremony.  However, she would not understand the meaning behind those actions.  For example, although she might see a person making specific movements, she would lack comprehension of the spiritual or symbolic significance of this behavior.  Therefore, the childhood perspective of the Samburu woman toward the school girl in her village is most similar to the perspective of a foreign traveler encountering an unfamiliar religious ceremony.
 (Choice A)  a sheltered student meeting diverse groups of people in college.  Paragraph 4 describes ""the one school girl [who] sat in her house looking at a paper (i.e. reading).""  Accordingly, the Samburu woman encountered only a single person representing a diverse viewpoint, rather than diverse groups of people.  Moreover, the fact that there was only one school girl suggests that the Samburu woman had not been sheltered but was merely like the overwhelming majority of people in her community.
(Choices B and C)  a community leader shunning a social transgressor; and an outsider seeking acceptance from an in-group.  According to Paragraph 4, ""the other girls asked [the school girl] to join them outside to play or go to a dance.""  Therefore, the passage does not indicate that the group of girls shunned the school girl, but rather states that they attempted to include her in their activities.  Similarly, the passage does not portray the Samburu woman as an outsider seeking acceptance, but instead depicts her as being like most of the other girls."
"9","Which of the following beliefs best exemplifies the ""assumption of a deeper-level similarity underlying the surface-level differences"" between cultures referred to in the passage?","D","2","Nevertheless, diversity among peoples with regard to dress, family structure, gender, religious practices, and so on reflects a variety of answers to what are universal questions about human needs.  Thus, the foundation of understanding a culture other than one's own must still include the assumption of a deeper-level similarity underlying the surface-level differences. (Paragraph 6)
According to Paragraph 6, ""diversity among peoples with regard to dress, family structure, gender, religious practices, and so on reflects a variety of answers to what are universal questions about human needs.""  Thus, the author asserts that people share common needs for human life and well-being, underneath the differences that exist between societies in terms of particular customs and traditions.  Therefore, the author concludes that ""the foundation of understanding a culture other than one's own must still include the assumption of a deeper-level similarity underlying the surface-level differences.""
Similarly, the belief that sentences from one language can in principle be translated into any other implies that the different languages refer to ideas that are common to all humans.  Such a belief would depend on the assumption that although diverse languages contain ""surface-level"" differences of words, those words are different ways of referring to the same ""deeper-level"" concepts.  Consequently, this belief about translation best exemplifies the ""assumption of a deeper-level similarity underlying the surface-level differences"" between cultures (Paragraph 6).
 By contrast, the ""assumption of a deeper-level similarity underlying the surface-level differences"" between cultures is not best exemplified by:
the belief that leaders from one nation should be respected by those of other nations (Choice A).  The idea that leaders from one nation should be respected by the leaders of other nations does not necessarily suggest anything about cultural similarity.  For example, one could believe that other leaders should be respected as a matter of practical policy, without assuming that there is a ""deeper-level similarity"" (Paragraph 6) between another culture and one's own.
the belief that children from one society can easily adapt to life in a new one (Choice B).  According to Paragraph 6, differences between societies constitute ""a variety of answers to what are universal questions about human needs.""  However, even if these questions are universal, that does not necessarily mean that it is easy for children (or anyone) to adapt to another society's ""answers.""  Moreover, customs and behaviors related to ""dress, family structure, gender, religious practices, and so on"" are likely to be strongly ingrained as part of one's way of life, suggesting that changing them would tend to be difficult.
the belief that food from one region is typically similar to that of its geographic neighbors (Choice C).  Food similarities among people in geographically neighboring regions would be based on factors such as local wildlife, climate, and agricultural conditions.  Thus, beliefs about such similarities would not depend on any assumptions about societies' cultural practices."
"10","The passage author's central point in discussing the examples of the Turkana and Samburu tribes is that those who research other cultures should:","B","2","Those who research other peoples are thus generally well served by the admonition not to import (whether overtly or subconsciously) the presuppositions of their own backgrounds into their understanding of another culture or tradition. (Paragraph 1)
However, a peculiar sort of danger can arise from adherence to this clearly reasonable principle, as illustrated in the recent experience of anthropological photographer Colin Prior. (Paragraph 2)
Paradoxically, Prior's openness to discovering the differences of another society led him away from, rather than toward, a correct understanding. (Paragraph 3)
One woman commented that, as a child, she was at a loss to understand why the one school girl sat in her house looking at a paper (i.e. reading).  When the other girls asked her to join them outside to play or go to a dance, she refused, saying she wanted to stay in and look at the paper."" (Paragraph 4)
For those who are literate, the sheer automaticity of the act of reading makes it difficult to imagine the confusion the woman felt as a child.  But to someone for whom even the concept of reading is unfamiliar, the school girl's actions would surely have seemed bizarre; presumably just sitting and staring at a piece of paper would indeed be quite boring. (Paragraph 5)
The passage discusses two problematic extremes of cultural research: the overestimation of differences between groups, and the inability to adopt another perspective.  First, while the author warns scholars ""not to import…the presuppositions of their own backgrounds into their understanding of another culture or tradition"" (Paragraph 1), they also note that ""a peculiar sort of danger can arise from adherence to this clearly reasonable principle"" (Paragraph 2).  For instance, Colin Prior was so open to the possibility that Turkana culture differed from his own that his outlook ""[p]aradoxically…led him away from, rather than toward, a correct understanding"" (Paragraph 3).
Second, the author discusses the other end of the spectrum, where one is unable to see past one's own ideas and perceptions.  For example, Paragraph 4 describes a Samburu woman who had no concept of reading, only of ""looking at a paper.""  In Paragraph 5, the author points out that ""[f]or those who are literate, the sheer automaticity of the act of reading makes it difficult to imagine the confusion the woman felt as a child.""  However, they stress the importance of interpreting the behavior from the Samburu woman's standpoint, explaining that ""to someone for whom even the concept of reading is unfamiliar, the school girl's actions would surely have seemed bizarre.""
Accordingly, the passage author argues that cultural research can go astray both from being excessively open-minded and from being excessively narrow-minded.  Consequently, their central point in discussing the examples of the Turkana and Samburu tribes is that those who research other cultures should strike a balance between intellectual openness and rigid thinking.
 By contrast, the passage author's central point in discussing the examples of the Turkana and Samburu tribes is not that those who research other cultures should:
keep in mind the cultural effects caused by a society's level of literacy (Choice A).  In Paragraph 5, the author contrasts the perspectives of ""those who are literate"" and ""someone for whom even the concept of reading is unfamiliar.""  However, while this contrast relates to the author's discussion of the Samburu, they never discuss literacy in relation to the Turkana.  Moreover, the author draws on these examples to make a more comprehensive point about two pitfalls of cultural research.
be receptive to the idea that obvious interpretations may not be correct (Choice C).  Paragraph 3 conveys that Prior made a mistake about the Turkana girls' keys because ""he appears to have assumed that the obvious answer must not be right.""  In this way, his extreme ""openness to discovering the differences of another society led him away from, rather than toward, a correct understanding.""  Accordingly, the author makes the point that in some cases, obvious interpretations really are correct.
avoid closed-mindedness in interpreting cultural practices (Choice D).  Although the author indicates that cultural researchers must avoid ""proceed[ing] from ethnocentric conceptions"" (Paragraph 1), rigid thinking is only one of two extremes that they identify as problematic."
